Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,814062,-,-,-,41.65,-91.54,-6,208,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.0.6
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,Solar Zenith Angle,Fill Flag,Surface Albedo,Wind Speed,Precipitable Water,Wind Direction,Relative Humidity,Temperature,Pressure,Global Horizontal UV Irradiance (280-400nm),Global Horizontal UV Irradiance (295-385nm)
2016,1,1,0,30,0,0,0,0,0,0,4,-11,160.89000000000001,0,0.866,3.2,0.485,274.5,82.69,-9,1000,0.0000,0.0000
2016,1,1,1,30,0,0,0,0,0,0,4,-10,154.9,0,0.866,3.4000000000000004,0.454,277.1,79.56,-8,1000,0.0000,0.0000
2016,1,1,2,30,0,0,0,0,0,0,4,-10,145.31,0,0.866,3.2,0.438,282.5,82.11,-8,990,0.0000,0.0000
2016,1,1,3,30,0,0,0,0,0,0,4,-10,134.48,0,0.866,2.9000000000000004,0.42,282.3,86.02,-9,990,0.0000,0.0000
2016,1,1,4,30,0,0,0,0,0,0,4,-11,123.3,0,0.866,3.3000000000000003,0.42,280,77.72,-8,990,0.0000,0.0000
2016,1,1,5,30,0,0,0,0,0,0,4,-10,112.19,0,0.866,4,0.462,279.3,76.64,-7,990,0.0000,0.0000
2016,1,1,6,30,0,0,0,0,0,0,4,-9,101.44,0,0.866,4.1000000000000005,0.527,276.8,81.54,-7,990,0.0000,0.0000
2016,1,1,7,30,0,0,0,0,0,0,1,-9,91.33,0,0.866,4.2,0.5730000000000001,272.40000000000003,83.27,-7,990,0.0000,0.0000
2016,1,1,8,30,40,535,113,40,535,113,1,-9,82.19,0,0.866,4.4,0.585,265.2,78.65,-6,990,0.0000,0.0000
2016,1,1,9,30,60,755,263,60,755,263,1,-8,74.45,0,0.866,4.800000000000001,0.585,253.8,82.35000000000001,-5,990,12.9236,9.9415
2016,1,1,10,30,71,849,380,71,849,380,0,-7,68.64,0,0.866,5.1000000000000005,0.6,250.9,80.98,-4,990,19.6871,15.2702
2016,1,1,11,30,77,886,447,77,886,447,0,-6,65.3,0,0.866,5.300000000000001,0.632,252.8,76.43,-3,990,23.7891,18.5121
2016,1,1,12,30,159,16,165,86,862,453,8,-5,64.82000000000001,0,0.866,5.2,0.664,253.60000000000002,79.05,-1,990,8.8125,6.8604
