Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,813957,-,-,-,41.65,-91.54,0,213,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.2.2
Year,Month,Day,Hour,Minute,Temperature,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Relative Humidity,Solar Zenith Angle,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed,Global Horizontal UV Irradiance (280-400nm),Global Horizontal UV Irradiance (295-385nm)
2021,1,1,0,30,-10.700000000000001,0,0,0,7,-11.9,0,0,0,0,90.92,108.71000000000001,0.8,999,0.4,89,1.9000000000000001,0.0000,0.0000
2021,1,1,1,30,-10.3,0,0,0,4,-11.9,0,0,0,0,88.3,119.73,0.8,999,0.4,102,2.3000000000000003,0.0000,0.0000
2021,1,1,2,30,-9.600000000000001,0,0,0,7,-11.100000000000001,0,0,0,0,88.55,130.91,0.8,1000,0.4,112,2.5,0.0000,0.0000
2021,1,1,3,30,-9.600000000000001,0,0,0,7,-10.8,0,0,0,0,91.28,141.91,0.8,1000,0.4,106,2.3000000000000003,0.0000,0.0000
2021,1,1,4,30,-10.3,0,0,0,7,-11.3,0,0,0,0,92.03,152.04,0.8,999,0.4,90,2,0.0000,0.0000
2021,1,1,5,30,-10.9,0,0,0,7,-12.200000000000001,0,0,0,0,89.83,159.56,0.8,999,0.4,78,1.9000000000000001,0.0000,0.0000
2021,1,1,6,30,-11.100000000000001,0,0,0,7,-12.600000000000001,0,0,0,0,88.47,160.84,0.8,999,0.5,73,2,0.0000,0.0000
2021,1,1,7,30,-10.8,0,0,0,7,-12.600000000000001,0,0,0,0,86.55,154.9,0.8,998,0.5,73,2.5,0.0000,0.0000
2021,1,1,8,30,-10.100000000000001,0,0,0,6,-12.100000000000001,0,0,0,0,85.27,145.34,0.8,997,0.6000000000000001,72,3.1,0.0000,0.0000
2021,1,1,9,30,-9.4,0,0,0,6,-11.200000000000001,0,0,0,0,86.81,134.52,0.8,996,0.7000000000000001,67,3.7,0.0000,0.0000
