Only_Date,GHI,non_zero_count,Average_GHI
2011-05-14,1603.0,14,114.5
2011-05-15,5321.0,14,380.07142857142856
2011-05-16,8497.0,14,606.9285714285714
2011-05-17,8518.0,14,608.4285714285714
2011-05-18,8154.0,14,582.4285714285714
2011-05-19,6418.0,14,458.42857142857144
2011-05-20,4889.0,14,349.2142857142857
2011-05-21,6021.0,14,430.07142857142856
2011-05-22,4265.0,14,304.64285714285717
2011-05-23,7155.0,14,511.07142857142856
2011-05-24,6625.0,14,473.2142857142857
2011-05-25,2957.0,14,211.21428571428572
2011-05-26,7275.0,14,519.6428571428571
2011-05-27,5569.0,14,397.7857142857143
2011-05-28,3531.0,14,252.21428571428572
2011-05-29,3011.0,14,215.07142857142858
2011-05-30,7835.0,14,559.6428571428571
2011-05-31,6348.0,14,453.42857142857144
2011-06-01,8146.0,14,581.8571428571429
2011-06-02,2405.0,14,171.78571428571428
2011-06-03,7681.0,14,548.6428571428571
2011-06-04,5298.0,14,378.42857142857144
2011-06-05,6923.0,14,494.5
2011-06-06,7864.0,14,561.7142857142857
2011-06-07,7903.0,14,564.5
2011-06-08,5958.0,14,425.57142857142856
2011-06-09,2236.0,14,159.71428571428572
2011-06-10,3609.0,14,257.7857142857143
2011-06-11,3799.0,14,271.35714285714283
2011-06-12,5915.0,14,422.5
2011-06-13,5198.0,14,371.2857142857143
2011-06-14,4709.0,15,313.93333333333334
2011-06-15,4939.0,15,329.26666666666665
2011-06-16,7713.0,15,514.2
2011-06-17,5308.0,15,353.8666666666667
2011-06-18,3712.0,15,247.46666666666667
2011-06-19,6605.0,15,440.3333333333333
2011-06-20,5689.0,15,379.26666666666665
2011-06-21,6879.0,15,458.6
2011-06-22,1931.0,15,128.73333333333332
2011-06-23,2856.0,15,190.4
2011-06-24,7877.0,15,525.1333333333333
2011-06-25,2057.0,15,137.13333333333333
2011-06-26,7378.0,15,491.8666666666667
2011-06-27,6413.0,15,427.53333333333336
2011-06-28,8726.0,15,581.7333333333333
2011-06-29,8469.0,15,564.6
2011-06-30,8110.0,15,540.6666666666666
2011-07-01,7986.0,15,532.4
2011-07-02,8123.0,15,541.5333333333333
2011-07-03,4895.0,14,349.64285714285717
2011-07-04,8495.0,15,566.3333333333334
2011-07-05,5443.0,15,362.8666666666667
2011-07-06,6587.0,15,439.1333333333333
2011-07-07,5924.0,15,394.93333333333334
2011-07-08,6993.0,15,466.2
2011-07-09,7945.0,15,529.6666666666666
2011-07-10,6732.0,15,448.8
2011-07-11,5544.0,14,396.0
2011-07-12,4439.0,14,317.07142857142856
2011-07-13,6363.0,14,454.5
2011-07-14,5441.0,14,388.64285714285717
2011-07-15,6427.0,14,459.07142857142856
2011-07-16,5510.0,14,393.57142857142856
2011-07-17,7382.0,14,527.2857142857143
2011-07-18,7418.0,14,529.8571428571429
2011-07-19,7727.0,14,551.9285714285714
2011-07-20,7940.0,14,567.1428571428571
2011-07-21,7270.0,14,519.2857142857143
2011-07-22,6274.0,14,448.14285714285717
2011-07-23,2903.0,14,207.35714285714286
2011-07-24,4196.0,14,299.7142857142857
2011-07-25,7951.0,14,567.9285714285714
2011-07-26,7128.0,14,509.14285714285717
2011-07-27,6084.0,14,434.57142857142856
2011-07-28,4576.0,14,326.85714285714283
2011-07-29,5609.0,14,400.64285714285717
2011-07-30,7721.0,14,551.5
2011-07-31,7710.0,14,550.7142857142857
2011-08-01,6761.0,14,482.92857142857144
2011-08-02,6458.0,14,461.2857142857143
2011-08-03,7411.0,14,529.3571428571429
2011-08-04,5147.0,14,367.64285714285717
2011-08-05,3832.0,14,273.7142857142857
2011-08-06,6400.0,14,457.14285714285717
2011-08-07,7402.0,14,528.7142857142857
2011-08-08,5576.0,14,398.2857142857143
2011-08-09,7269.0,14,519.2142857142857
2011-08-10,7250.0,14,517.8571428571429
2011-08-11,7641.0,14,545.7857142857143
2011-08-12,5638.0,14,402.7142857142857
2011-08-13,5179.0,14,369.92857142857144
2011-08-14,7364.0,14,526.0
2011-08-15,7307.0,14,521.9285714285714
2011-08-16,6090.0,14,435.0
2011-08-17,5920.0,14,422.85714285714283
2011-08-18,6444.0,14,460.2857142857143
2011-08-19,7108.0,14,507.7142857142857
2011-08-20,5674.0,14,405.2857142857143
2011-08-21,7114.0,13,547.2307692307693
2011-08-22,6869.0,13,528.3846153846154
2011-08-23,5770.0,13,443.84615384615387
2011-08-24,6776.0,13,521.2307692307693
2011-08-25,7072.0,13,544.0
2011-08-26,4901.0,13,377.0
2011-08-27,6594.0,13,507.2307692307692
2011-08-28,4028.0,13,309.84615384615387
2011-08-29,6752.0,13,519.3846153846154
2011-08-30,1882.0,13,144.76923076923077
2011-08-31,6236.0,13,479.6923076923077
2011-09-01,5554.0,12,462.8333333333333
2011-09-02,5671.0,12,472.5833333333333
2011-09-03,1345.0,12,112.08333333333333
2011-09-04,6499.0,12,541.5833333333334
2011-09-05,6733.0,12,561.0833333333334
2011-09-06,6657.0,12,554.75
2011-09-07,6599.0,12,549.9166666666666
2011-09-08,5847.0,12,487.25
2011-09-09,5790.0,12,482.5
2011-09-10,5496.0,12,458.0
2011-09-11,6094.0,12,507.8333333333333
2011-09-12,5675.0,12,472.9166666666667
2011-09-13,5949.0,12,495.75
2011-09-14,4642.0,12,386.8333333333333
2011-09-15,5850.0,12,487.5
2011-09-16,1465.0,12,122.08333333333333
2011-09-17,2512.0,12,209.33333333333334
2011-09-18,1249.0,12,104.08333333333333
2011-09-19,5733.0,12,477.75
2011-09-20,4130.0,12,344.1666666666667
2011-09-21,5441.0,12,453.4166666666667
2011-09-22,4650.0,12,387.5
2011-09-23,2271.0,12,189.25
2011-09-24,3601.0,12,300.0833333333333
2011-09-25,3475.0,12,289.5833333333333
2011-09-26,974.0,12,81.16666666666667
2011-09-27,4369.0,12,364.0833333333333
2011-09-28,2869.0,12,239.08333333333334
2011-09-29,3509.0,12,292.4166666666667
2011-09-30,5334.0,12,444.5
2011-10-01,5363.0,12,446.9166666666667
2011-10-02,5157.0,12,429.75
2011-10-03,4978.0,12,414.8333333333333
2011-10-04,4996.0,12,416.3333333333333
2011-10-05,4963.0,12,413.5833333333333
2011-10-06,4717.0,12,393.0833333333333
2011-10-07,4567.0,11,415.1818181818182
2011-10-08,4641.0,11,421.90909090909093
2011-10-09,4657.0,11,423.3636363636364
2011-10-10,3313.0,11,301.1818181818182
2011-10-11,3994.0,11,363.09090909090907
2011-10-12,2236.0,10,223.6
2011-10-13,4500.0,11,409.09090909090907
2011-10-14,2827.0,11,257.0
2011-10-15,4276.0,11,388.72727272727275
2011-10-16,3077.0,11,279.72727272727275
2011-10-17,2097.0,10,209.7
2011-10-18,2479.0,10,247.9
2011-10-19,1793.0,10,179.3
2011-10-20,2050.0,10,205.0
2011-10-21,4001.0,10,400.1
2011-10-22,3844.0,10,384.4
2011-10-23,3260.0,10,326.0
2011-10-24,3809.0,10,380.9
2011-10-25,2313.0,10,231.3
2011-10-26,1383.0,10,138.3
2011-10-27,3397.0,10,339.7
2011-10-28,3292.0,10,329.2
2011-10-29,3762.0,10,376.2
2011-10-30,2174.0,10,217.4
2011-10-31,3583.0,10,358.3
2011-11-01,3496.0,10,349.6
2011-11-02,324.0,10,32.4
2011-11-03,2495.0,10,249.5
2011-11-04,3426.0,10,342.6
2011-11-05,910.0,10,91.0
2011-11-06,2543.0,10,254.3
2011-11-07,2763.0,10,276.3
2011-11-08,642.0,10,64.2
2011-11-09,2009.0,10,200.9
2011-11-10,2058.0,10,205.8
2011-11-11,2998.0,10,299.8
2011-11-12,2472.0,10,247.2
2011-11-13,2408.0,10,240.8
2011-11-14,2589.0,10,258.9
2011-11-15,2966.0,10,296.6
2011-11-16,3112.0,10,311.2
2011-11-17,3081.0,10,308.1
2011-11-18,2474.0,10,247.4
2011-11-19,432.0,9,48.0
2011-11-20,1446.0,10,144.6
2011-11-21,2497.0,10,249.7
2011-11-22,699.0,9,77.66666666666667
2011-11-23,1261.0,9,140.11111111111111
2011-11-24,2203.0,9,244.77777777777777
2011-11-25,1002.0,9,111.33333333333333
2011-11-26,590.0,9,65.55555555555556
2011-11-27,597.0,9,66.33333333333333
2011-11-28,1554.0,9,172.66666666666666
2011-11-29,2750.0,9,305.55555555555554
2011-11-30,2421.0,9,269.0
2011-12-01,1452.0,9,161.33333333333334
2011-12-02,2668.0,9,296.44444444444446
2011-12-03,831.0,9,92.33333333333333
2011-12-04,723.0,9,80.33333333333333
2011-12-05,1113.0,9,123.66666666666667
2011-12-06,1055.0,9,117.22222222222223
2011-12-07,2348.0,8,293.5
2011-12-08,1608.0,8,201.0
2011-12-09,2517.0,8,314.625
2011-12-10,1887.0,8,235.875
2011-12-11,1945.0,8,243.125
2011-12-12,728.0,8,91.0
2011-12-13,952.0,8,119.0
2011-12-14,477.0,8,59.625
2011-12-15,469.0,8,58.625
2011-12-16,2472.0,8,309.0
2011-12-17,1908.0,8,238.5
2011-12-18,2354.0,8,294.25
2011-12-19,1784.0,8,223.0
2011-12-20,567.0,8,70.875
2011-12-21,1689.0,8,211.125
2011-12-22,1074.0,8,134.25
2011-12-23,1903.0,8,237.875
2011-12-24,2380.0,8,297.5
2011-12-25,2441.0,8,305.125
2011-12-26,1824.0,9,202.66666666666666
2011-12-27,816.0,9,90.66666666666667
2011-12-28,2169.0,9,241.0
2011-12-29,2418.0,9,268.6666666666667
2011-12-30,289.0,9,32.111111111111114
2011-12-31,2165.0,9,240.55555555555554
2012-01-01,1478.0,9,164.22222222222223
2012-01-02,1605.0,9,178.33333333333334
2012-01-03,2357.0,9,261.8888888888889
2012-01-04,2310.0,9,256.6666666666667
2012-01-05,2372.0,9,263.55555555555554
2012-01-06,1914.0,9,212.66666666666666
2012-01-07,2356.0,9,261.77777777777777
2012-01-08,1624.0,9,180.44444444444446
2012-01-09,2568.0,9,285.3333333333333
2012-01-10,2605.0,9,289.44444444444446
2012-01-11,2559.0,9,284.3333333333333
2012-01-12,1313.0,9,145.88888888888889
2012-01-13,1561.0,9,173.44444444444446
2012-01-14,2619.0,9,291.0
2012-01-15,2562.0,9,284.6666666666667
2012-01-16,1834.0,9,203.77777777777777
2012-01-17,1769.0,9,196.55555555555554
2012-01-18,2348.0,9,260.8888888888889
2012-01-19,2897.0,9,321.8888888888889
2012-01-20,895.0,9,99.44444444444444
2012-01-21,1111.0,9,123.44444444444444
2012-01-22,1269.0,9,141.0
2012-01-23,1473.0,9,163.66666666666666
2012-01-24,2220.0,9,246.66666666666666
2012-01-25,1851.0,9,205.66666666666666
2012-01-26,1464.0,9,162.66666666666666
2012-01-27,2103.0,9,233.66666666666666
