Only_Date,Hour,EL_Solar_BusBarn_Total_KW,non_zero_count,GHI,non_zero_count_ghi,Average_KW,Average_GHI,Conversion_Efficiency
5/14/11,0,0,0,0,0,,,
5/14/11,1,0,0,0,0,,,
5/14/11,2,0,0,0,0,,,
5/14/11,3,0,0,0,0,,,
5/14/11,4,0,0,0,0,,,
5/14/11,5,0,0,6,1,,6,
5/14/11,6,0,0,56,1,,56,
5/14/11,7,0.044322473,1,149,1,0.044322473,149,0.00119863
5/14/11,8,0.20131191,1,105,1,0.20131191,105,0.007725521
5/14/11,9,0.22392929,1,111,1,0.22392929,111,0.00812897
5/14/11,10,0.645140715,1,102,1,0.645140715,102,0.025486012
5/14/11,11,1.391401171,1,101,1,1.391401171,101,0.055510941
5/14/11,12,2.448774847,1,151,1,2.448774847,151,0.065346075
5/14/11,13,2.27676335,1,246,1,2.27676335,246,0.037293263
5/14/11,14,1.751586589,1,192,1,1.751586589,192,0.03676021
5/14/11,15,1.78710506,1,131,1,1.78710506,131,0.054970082
5/14/11,16,1.349125794,1,200,1,1.349125794,200,0.027181289
5/14/11,17,0.794883806,1,47,1,0.794883806,47,0.068148043
5/14/11,18,0.235803862,1,6,1,0.235803862,6,0.158360645
5/14/11,19,0.016597293,1,0,0,0.016597293,,
5/14/11,20,0,0,0,0,,,
5/14/11,21,0,0,0,0,,,
5/14/11,22,0,0,0,0,,,
5/14/11,23,0,0,0,0,,,
5/15/11,0,0,0,0,0,,,
5/15/11,1,0,0,0,0,,,
5/15/11,2,0,0,0,0,,,
5/15/11,3,0,0,0,0,,,
5/15/11,4,0,0,0,0,,,
5/15/11,5,0,0,2,1,,2,
5/15/11,6,0.225186393,1,16,1,0.225186393,16,0.05671132
5/15/11,7,1.772135723,1,183,1,1.772135723,183,0.039020559
5/15/11,8,4.152573813,1,124,1,4.152573813,124,0.134940798
5/15/11,9,4.666953582,1,149,1,4.666953582,149,0.126210303
5/15/11,10,6.010741328,1,513,1,6.010741328,513,0.047212638
5/15/11,11,9.349336338,1,435,1,9.349336338,435,0.086604234
5/15/11,12,8.490556067,1,793,1,8.490556067,793,0.04314302
5/15/11,13,17.67149576,1,911,1,17.67149576,911,0.078163236
5/15/11,14,17.40526131,1,700,1,17.40526131,700,0.100191322
5/15/11,15,19.31464415,1,656,1,19.31464415,656,0.118639817
5/15/11,16,15.02276401,1,473,1,15.02276401,473,0.12797829
5/15/11,17,9.513640322,1,275,1,9.513640322,275,0.139399633
5/15/11,18,3.950549862,1,91,1,3.950549862,91,0.174929781
5/15/11,19,0.464388443,1,0,0,0.464388443,,
5/15/11,20,0.000190727,1,0,0,0.000190727,,
5/15/11,21,0,0,0,0,,,
5/15/11,22,0,0,0,0,,,
5/15/11,23,0,0,0,0,,,
5/16/11,0,0,0,0,0,,,
5/16/11,1,0,0,0,0,,,
5/16/11,2,0,0,0,0,,,
5/16/11,3,0,0,0,0,,,
5/16/11,4,0,0,0,0,,,
5/16/11,5,0.000550931,1,82,1,0.000550931,82,2.71E-05
5/16/11,6,0.24721252,1,271,1,0.24721252,271,0.003675774
5/16/11,7,3.189358838,1,474,1,3.189358838,474,0.027112692
5/16/11,8,8.75295905,1,663,1,8.75295905,663,0.053197223
5/16/11,9,14.26496447,1,821,1,14.26496447,821,0.070012427
5/16/11,10,18.54796995,1,933,1,18.54796995,933,0.0801055
5/16/11,11,21.04408478,1,991,1,21.04408478,991,0.085566543
5/16/11,12,22.02654858,1,988,1,22.02654858,988,0.089833248
5/16/11,13,21.97515701,1,931,1,21.97515701,931,0.095110815
5/16/11,14,20.7722564,1,821,1,20.7722564,821,0.101950208
5/16/11,15,16.46036681,1,667,1,16.46036681,667,0.099440036
5/16/11,16,12.92759915,1,481,1,12.92759915,481,0.108297991
5/16/11,17,9.553485751,1,281,1,9.553485751,281,0.136994502
5/16/11,18,3.92856225,1,93,1,3.92856225,93,0.17021518
5/16/11,19,0.443223637,1,0,0,0.443223637,,
5/16/11,20,0.000558227,1,0,0,0.000558227,,
5/16/11,21,0,0,0,0,,,
5/16/11,22,0,0,0,0,,,
5/16/11,23,0,0,0,0,,,
5/17/11,0,0,0,0,0,,,
5/17/11,1,0,0,0,0,,,
5/17/11,2,0,0,0,0,,,
5/17/11,3,0,0,0,0,,,
5/17/11,4,0,0,0,0,,,
5/17/11,5,0.000665521,1,82,1,0.000665521,82,3.27E-05
5/17/11,6,0.264082905,1,271,1,0.264082905,271,0.003926617
5/17/11,7,3.249785647,1,475,1,3.249785647,475,0.027568219
5/17/11,8,8.764631662,1,666,1,8.764631662,666,0.053028219
5/17/11,9,14.13482312,1,824,1,14.13482312,824,0.06912112
5/17/11,10,18.22574873,1,936,1,18.22574873,936,0.078461594
5/17/11,11,20.66543993,1,994,1,20.66543993,994,0.083773347
5/17/11,12,21.74007194,1,993,1,21.74007194,993,0.08821843
5/17/11,13,21.04439711,1,934,1,21.04439711,934,0.090789831
5/17/11,14,20.25755435,1,822,1,20.25755435,822,0.099303097
5/17/11,15,18.2291432,1,667,1,18.2291432,667,0.110125532
5/17/11,16,14.49780102,1,480,1,14.49780102,480,0.121705021
5/17/11,17,9.412628306,1,280,1,9.412628306,280,0.135456695
5/17/11,18,3.913832255,1,94,1,3.913832255,94,0.167772954
5/17/11,19,0.457110987,1,0,0,0.457110987,,
5/17/11,20,0.001001972,1,0,0,0.001001972,,
5/17/11,21,0,0,0,0,,,
5/17/11,22,0,0,0,0,,,
5/17/11,23,0,0,0,0,,,
5/18/11,0,0,0,0,0,,,
5/18/11,1,0,0,0,0,,,
5/18/11,2,0,0,0,0,,,
5/18/11,3,0,0,0,0,,,
5/18/11,4,0,0,0,0,,,
5/18/11,5,0.000349837,1,81,1,0.000349837,81,1.74E-05
5/18/11,6,0.258064818,1,263,1,0.258064818,263,0.003953854
5/18/11,7,3.203063472,1,460,1,3.203063472,460,0.02805791
5/18/11,8,7.768868999,1,643,1,7.768868999,643,0.048684916
5/18/11,9,13.51345233,1,795,1,13.51345233,795,0.068493094
5/18/11,10,17.7791851,1,902,1,17.7791851,902,0.079424211
5/18/11,11,19.8572099,1,958,1,19.8572099,958,0.08352189
5/18/11,12,20.82246123,1,949,1,20.82246123,949,0.088412454
5/18/11,13,19.48362635,1,891,1,19.48362635,891,0.088112939
