Month_Year,EL_Solar_BusBarn_Total_KW,non_zero_count,GHI,non_zero_count_ghi,Average_KW,Average_GHI,Conversion_Efficiency
2011-05,2436.46164589,18,103992,18,135.3589803272222,5777.333333333333,0.09440766276049802
2011-06,4434.41586837,30,172306,30,147.813862279,5743.533333333334,0.10370116051470586
2011-07,5524.86655704,31,200736,31,178.22150184,6475.354838709677,0.11090321202577001
2011-08,5700.3468977,31,191865,31,183.88215799032258,6189.193548387097,0.11971625570822052
2011-09,3932.04656152,30,135983,30,131.06821871733334,4532.766666666666,0.1165149441277474
2011-10,3316.67172011,31,111499,31,106.98941032612903,3596.7419354838707,0.11986133566082202
2011-11,1913.216420498,30,60218,30,63.77388068326666,2007.2666666666667,0.1280222246794468
2011-12,1419.905132347,31,49026,31,45.80339136603226,1581.483870967742,0.11670258222905622
2012-01,1820.469753553,31,65031,31,58.72483075977419,2097.7741935483873,0.1128003982254351
2012-02,2165.053225405,29,75985,29,74.6570077725862,2620.1724137931033,0.1148122709317463
2012-03,3489.50409366,31,122423,31,112.56464818258064,3949.1290322580644,0.11485457308803544
2012-04,4368.40667297,30,154637,30,145.61355576566666,5154.566666666667,0.11383013310327901
2012-05,5660.27678404,31,207543,31,182.58957367870968,6694.935483870968,0.10989480831908234
2012-06,6138.9266253,30,223771,30,204.63088750999998,7459.033333333334,0.110544270333215
2012-07,5978.9297786,31,216723,31,192.86870253548386,6991.064516129032,0.11116448144217202
2012-08,5226.6904155189995,31,185931,31,168.60291662964514,5997.774193548387,0.11327200016697804
2012-09,4464.29756056,30,150558,30,148.80991868533334,5018.6,0.11948046237727923
2012-10,2941.70040256,31,99369,31,94.89356137290322,3205.451612903226,0.11928754979233212
2012-11,2046.139123124,30,68333,30,68.20463743746667,2277.766666666667,0.1206569294816328
2012-12,1201.137610659,31,42652,31,38.7463745373871,1375.8709677419354,0.11347520160832147
2013-01,1835.922313002,31,65983,31,59.22330041941935,2128.483870967742,0.11211657964202099
2013-02,1594.179057629,28,73089,28,56.93496634389286,2610.3214285714284,0.08788862643799236
2013-03,3051.633902256,31,123072,31,98.43980329858064,3970.064516129032,0.09991271725923657
2013-04,4041.65486065,30,144785,30,134.72182868833335,4826.166666666667,0.11248205729603669
2013-05,4419.70791424,31,166591,31,142.57122304,5373.903225806452,0.1069029356246494
2013-06,4798.57221578,30,183188,30,159.95240719266667,6106.266666666666,0.10555106299803643
2013-07,5763.26009515,31,213283,31,185.91161597258065,6880.096774193548,0.10888287416723509
2013-08,5286.01549715,31,189632,31,170.51662894032256,6117.1612903225805,0.11232189039038892
2013-09,4403.79202535,30,150952,30,146.79306751166666,5031.733333333334,0.11755348985410885
