Year,EL_Solar_BusBarn_Total_KW,non_zero_count,GHI,non_zero_count_ghi,Average_KW,Average_GHI,Conversion_Efficiency
2011,28677.930803475,232,1025625,232,123.61177070463361,4420.797413793103,0.11266961534125769
2012,45501.53204595,366,1612956,366,124.32112580860655,4406.983606557377,0.11367137066548247
2013,40906.421028517,364,1523598,365,112.38027755087087,4174.241095890411,0.10848262074493323
2014,39292.551870639,364,1482753,365,107.94657107318406,4062.33698630137,0.10707313092754528
2015,40671.415153405,362,1517825,365,112.35197556189227,4158.424657534247,0.10886780669551856
2016,41822.685988143,365,1539009,366,114.58270133737808,4204.94262295082,0.10980107196488477
2017,46436.444803408,358,1509196,365,129.710739674324,4134.783561643836,0.1264068917237699
2018,45995.706586956,365,1436160,365,126.01563448481096,3934.6849315068494,0.12905120552121205
2019,41514.777181146,365,1406905,365,113.73911556478356,3854.5342465753424,0.11890100781223323
2020,43044.378630615,366,1464112,366,117.60759188692623,4000.3060109289618,0.11846491311887633
2021,41348.658774047,363,2963042,365,113.90815089269145,8117.923287671233,0.05654021509762872
