Year,Day,Total GHI Units,Total Final,Non-Zero Final Count,throughput
2011,1,323.2,1409.385313,70,20.1340759
2011,2,405.6,1247.148184,83,15.02588174
2011,3,412.5,1283.39096,84,15.27846381
2011,4,319.1,1609.814768,85,18.93899727
2011,5,349.9,1352.502152,84,16.1012161
2011,6,404,1572.077718,93,16.90406148
2011,7,491.5,1754.763018,94,18.66769168
2011,8,493,1443.54228,91,15.86310197
2011,9,561,1512.45224,92,16.43969826
2011,10,338.5,1302.765531,83,15.69597026
2011,11,291.3,1271.070522,81,15.69222866
2011,12,363.5,1043.485987,82,12.72543887
2011,13,428.2,1324.121926,82,16.14782836
2011,14,494.3,1130.252209,80,14.12815262
2011,15,449.7,1376.633058,82,16.78820803
2011,16,337.6,1271.95744,81,15.70317827
2011,17,339,1036.677833,82,12.6424126
2011,18,389.5,1052.863421,79,13.32738508
2011,19,394.6,1378.981369,81,17.02446135
2011,20,442,1187.216425,80,14.84020532
2011,21,381.8,1470.183743,82,17.92907003
2011,22,363.8,1169.564183,79,14.80460991
2011,23,427.7,988.0433985,79,12.50687846
2011,24,362.3,1405.538137,80,17.56922672
2011,25,381.3,1276.291049,80,15.95363811
2011,26,417.9,979.5142353,78,12.55787481
2011,27,478.9,1316.585162,80,16.45731452
2011,28,284.3,1196.721049,79,15.14836771
2011,29,376.7,1515.1761,80,18.93970125
2011,30,479.4,1097.700618,78,14.07308485
2011,31,196.3,1042.263727,52,20.04353322
2012,1,894.7,2142.521338,155,13.82271831
2012,2,917.7,2263.75647,158,14.32757259
2012,3,866.3,2321.266512,155,14.97591298
2012,4,807.5,2209.324236,154,14.34626127
2012,5,826.8,2496.406339,156,16.00260474
2012,6,779.4,2423.592795,156,15.53585125
2012,7,829.4,1958.514063,156,12.55457732
2012,8,864.5,2839.355858,155,18.31842489
2012,9,914.9,2590.199646,159,16.29056381
2012,10,1054.5,3002.180001,158,19.00113925
2012,11,1035.2,2928.660697,157,18.65388979
2012,12,969.8,2655.77625,158,16.80871044
2012,13,895.6,1873.369046,154,12.16473406
2012,14,745.2,2404.49329,157,15.31524388
2012,15,915.5,2679.554903,156,17.17663399
2012,16,926.2,2593.703912,154,16.84223319
2012,17,852.3,2447.802934,157,15.59110149
2012,18,1022,2392.705877,158,15.14370808
2012,19,1005.3,2365.877676,153,15.46325278
2012,20,1145.4,2244.017058,153,14.66677816
2012,21,865.9,2371.952246,155,15.30291772
2012,22,828.7,2266.681835,155,14.62375378
2012,23,967.4,2350.287945,155,15.16314803
2012,24,905.9,2192.399674,156,14.05384406
2012,25,886.8,2433.067675,157,15.49724634
2012,26,1004.3,2296.286052,148,15.51544629
2012,27,990.9,2798.98171,154,18.17520591
2012,28,850,2388.396289,157,15.21271522
2012,29,931.7,2308.887981,157,14.70629287
2012,30,673.6,2440.446793,144,16.94754717
2012,31,550.4,1238.748057,88,14.07668247
2013,1,860.2,2705.509616,153,17.68306939
2013,2,893.7,2554.069584,156,16.37224092
2013,3,713.9,2419.554156,155,15.61002681
2013,4,841.5,2148.338319,155,13.86024722
2013,5,902.8,1773.073366,154,11.51346342
2013,6,888.9,2200.549427,156,14.10608607
2013,7,721.9,2514.222962,157,16.01415899
2013,8,862.2,2243.684668,155,14.47538495
2013,9,971.8,1804.707682,155,11.64327537
2013,10,986,2016.200985,154,13.09221419
2013,11,1100.2,1805.912461,155,11.65104814
2013,12,1027.6,2448.632302,157,15.59638409
2013,13,886.8,2954.09086,159,18.5791878
2013,14,937.4,2658.643708,158,16.82685891
2013,15,807.6,2077.501266,155,13.40323397
2013,16,823.8,1909.734242,155,12.32086608
2013,17,935.5,2412.70749,154,15.66693175
2013,18,1073.7,2166.732377,156,13.88931011
2013,19,1227.3,2508.913596,157,15.98034137
2013,20,1004.9,2436.893819,154,15.82398584
2013,21,959,2382.846797,158,15.08130884
2013,22,809.2,1983.053203,150,13.22035468
2013,23,989.5,2368.574736,157,15.08646329
2013,24,811.9,2150.726993,152,14.14951969
2013,25,945.3,2264.857489,148,15.30309114
2013,26,1023.7,2244.419532,152,14.76591797
2013,27,932.5,2385.72083,155,15.39174729
2013,28,918.1,2459.414982,154,15.97022716
2013,29,819.5,2218.815885,144,15.40844364
2013,30,931.5,1676.10409,137,12.23433642
2013,31,632.7,1031.566841,88,11.72235047
2014,1,1079.1,1879.539497,138,13.61985143
2014,2,935,1579.990444,136,11.61757679
2014,3,959.4,1977.025202,137,14.43084089
2014,4,1053.1,1827.785233,138,13.24482053
2014,5,999.8,1591.918283,136,11.70528149
2014,6,947.5,2476.497545,140,17.68926818
2014,7,820.5,1994.779878,138,14.45492666
2014,8,915.7,1934.971662,136,14.22773281
2014,9,858.9,2307.120401,135,17.08978075
2014,10,835.4,1854.559263,137,13.53692893
2014,11,878.3,1729.50426,124,13.947615
2014,12,949.2,1580.600053,118,13.3949157
2014,13,805,1745.896828,126,13.85632403
2014,14,1094.1,1788.774438,124,14.42560031
2014,15,826.5,1867.866207,128,14.59270474
2014,16,988.2,1955.759933,125,15.64607947
2014,17,937.5,2364.788421,137,17.26122935
2014,18,804.6,2320.495927,138,16.81518787
2014,19,1013.8,2380.338029,139,17.12473402
2014,20,913,2226.596784,136,16.37203518
2014,21,1012.2,2198.754552,139,15.81837807
2014,22,910.3,2167.743315,137,15.8229439
2014,23,844.7,2005.130822,137,14.6359914
2014,24,958.3,1730.554362,138,12.540249
2014,25,939,2691.919306,136,19.79352431
2014,26,1000.8,2291.138603,139,16.48301153
2014,27,1152.7,2397.322283,138,17.3719006
2014,28,901.5,2189.284981,136,16.09768368
2014,29,740.5,2385.805446,124,19.2403665
2014,30,967.1,2008.43715,125,16.0674972
2014,31,636,1605.069327,80,20.06336658
2015,1,916.5,2639.512037,135,19.55194102
2015,2,826.4,2481.917164,135,18.38457158
2015,3,786.6,2234.443785,132,16.92760443
2015,4,790.1,2391.255592,134,17.84519099
2015,5,788,2260.521758,132,17.12516483
2015,6,822.6,2021.645014,133,15.20033845
2015,7,922.2,2462.908589,134,18.37991484
2015,8,808.1,1780.939197,134,13.29059102
2015,9,793.7,2492.421633,137,18.19285864
2015,10,860.7,2599.709173,135,19.25710498
2015,11,988.9,2290.543302,134,17.09360673
2015,12,1059.9,2675.8261,133,20.11899323
2015,13,893.9,2710.817627,136,19.93248255
2015,14,978.8,2516.100181,134,18.77686702
2015,15,865.7,2358.960638,135,17.47378251
2015,16,1016.6,2443.52746,132,18.51157167
2015,17,1036.9,2136.040066,134,15.9405975
2015,18,1042.2,2230.637814,131,17.02776957
2015,19,917.1,2497.968992,137,18.2333503
2015,20,986,1966.888488,131,15.01441594
2015,21,905.9,2255.112882,131,17.21460216
2015,22,917.6,2102.981702,136,15.46310075
2015,23,891,2683.322161,137,19.58629315
2015,24,977.7,1695.763641,133,12.75010256
2015,25,930.2,1724.907538,133,12.96922961
2015,26,861.4,1990.544103,131,15.19499316
2015,27,779.5,2064.835124,134,15.40921734
2015,28,950.8,1884.350843,131,14.38435758
2015,29,915.1,1598.661122,120,13.32217602
2015,30,688.7,2215.323247,124,17.86551006
2015,31,486.7,1461.271842,78,18.73425438
2016,1,849.5,1890.04954,134,14.10484732
2016,2,754.8,2024.081367,135,14.99319531
2016,3,842.5,2103.980614,133,15.81940312
2016,4,836.3,2404.425224,131,18.35439102
2016,5,873.6,2510.151284,136,18.45699474
2016,6,981,2426.388041,133,18.24351911
2016,7,988.9,2177.380329,130,16.74907945
2016,8,1005.8,2365.660186,134,17.65418049
2016,9,806.5,2276.871663,121,18.81712118
2016,10,862.3,1896.903958,122,15.5483931
2016,11,781.9,2474.964918,123,20.121666
2016,12,865.7,2357.995862,123,19.17069807
2016,13,767.3,2519.483376,138,18.25712591
2016,14,879.6,2606.673614,137,19.0268147
2016,15,871.8,2058.057191,134,15.35863575
